Ligand_ID	Receptor_ID	TF_ID	Pathway	pathway_ID	Ligand_Symbol	Receptor_Symbol	TF_Symbol
5443	117	4609	R-HSA-1643685_9	R-HSA-1643685	POMC	ADCYAP1R1	MYC
5443	4158	4609	R-HSA-1643685_9	R-HSA-1643685	POMC	MC2R	MYC
5443	7253	4609	R-HSA-1643685_9	R-HSA-1643685	POMC	TSHR	MYC
551	554	4609	R-HSA-1643685_9	R-HSA-1643685	AVP	AVPR2	MYC
5741	5745	4609	R-HSA-1643685_9	R-HSA-1643685	PTH	PTH1R	MYC
5744	5745	4609	R-HSA-1643685_9	R-HSA-1643685	PTHLH	PTH1R	MYC
6019	59350	4609	R-HSA-1643685_9	R-HSA-1643685	RLN2	RXFP1	MYC
7252	117	4609	R-HSA-1643685_9	R-HSA-1643685	TSHB	ADCYAP1R1	MYC
7252	7253	4609	R-HSA-1643685_9	R-HSA-1643685	TSHB	TSHR	MYC
7432	117	4609	R-HSA-1643685_9	R-HSA-1643685	VIP	ADCYAP1R1	MYC
7432	153	4609	R-HSA-1643685_9	R-HSA-1643685	VIP	ADRB1	MYC
7432	7253	4609	R-HSA-1643685_9	R-HSA-1643685	VIP	TSHR	MYC
7432	7434	4609	R-HSA-1643685_9	R-HSA-1643685	VIP	VIPR2	MYC
23643	7099	4609	R-HSA-1643685_5,R-HSA-168256_3	R-HSA-1643685,R-HSA-168256	LY96	TLR4	MYC
3955	4851	4609	R-HSA-1643685_1,R-HSA-157118_1	R-HSA-1643685,R-HSA-157118	LFNG	NOTCH1	MYC
3955	4853	4609	R-HSA-1643685_3,R-HSA-157118_2	R-HSA-1643685,R-HSA-157118	LFNG	NOTCH2	MYC
1081	117	2002	R-HSA-1643685_12	R-HSA-1643685	CGA	ADCYAP1R1	ELK1
1081	2492	2002	R-HSA-1643685_12	R-HSA-1643685	CGA	FSHR	ELK1
1081	3973	2002	R-HSA-1643685_12	R-HSA-1643685	CGA	LHCGR	ELK1
1081	7253	2002	R-HSA-1643685_12	R-HSA-1643685	CGA	TSHR	ELK1
116	117	2002	R-HSA-1643685_12,R-HSA-187037_4,R-HSA-166520_4,R-HSA-9006934_4	R-HSA-1643685,R-HSA-187037,R-HSA-166520,R-HSA-9006934	ADCYAP1	ADCYAP1R1	ELK1
116	7253	2002	R-HSA-1643685_12	R-HSA-1643685	ADCYAP1	TSHR	ELK1
116	7434	2002	R-HSA-1643685_12	R-HSA-1643685	ADCYAP1	VIPR2	ELK1
1392	1394	2002	R-HSA-1643685_12	R-HSA-1643685	CRH	CRHR1	ELK1
1392	1395	2002	R-HSA-1643685_12	R-HSA-1643685	CRH	CRHR2	ELK1
1634	2066	2002	R-HSA-1643685_6	R-HSA-1643685	DCN	ERBB4	ELK1
1634	4233	2002	R-HSA-1643685_6	R-HSA-1643685	DCN	MET	ELK1
182	4851	2002	R-HSA-1643685_4	R-HSA-1643685	JAG1	NOTCH1	ELK1
182	4853	2002	R-HSA-1643685_6	R-HSA-1643685	JAG1	NOTCH2	ELK1
182	4854	2002	R-HSA-1643685_6	R-HSA-1643685	JAG1	NOTCH3	ELK1
182	4855	2002	R-HSA-1643685_6	R-HSA-1643685	JAG1	NOTCH4	ELK1
2488	117	2002	R-HSA-1643685_12	R-HSA-1643685	FSHB	ADCYAP1R1	ELK1
2488	2492	2002	R-HSA-1643685_12	R-HSA-1643685	FSHB	FSHR	ELK1
2488	7253	2002	R-HSA-1643685_12	R-HSA-1643685	FSHB	TSHR	ELK1
2641	117	2002	R-HSA-1643685_12	R-HSA-1643685	GCG	ADCYAP1R1	ELK1
2641	2696	2002	R-HSA-1643685_12	R-HSA-1643685	GCG	GIPR	ELK1
2641	2740	2002	R-HSA-1643685_12	R-HSA-1643685	GCG	GLP1R	ELK1
2641	7253	2002	R-HSA-1643685_12	R-HSA-1643685	GCG	TSHR	ELK1
2691	2692	2002	R-HSA-1643685_12	R-HSA-1643685	GHRH	GHRHR	ELK1
2695	117	2002	R-HSA-1643685_12	R-HSA-1643685	GIP	ADCYAP1R1	ELK1
2695	2696	2002	R-HSA-1643685_12	R-HSA-1643685	GIP	GIPR	ELK1
2695	7253	2002	R-HSA-1643685_12	R-HSA-1643685	GIP	TSHR	ELK1
28514	4851	2002	R-HSA-1643685_4	R-HSA-1643685	DLL1	NOTCH1	ELK1
